MyUnknownColumn,order_id,order_item_id,customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,seller_id,seller_city,seller_state,seller_zip_code_prefix,payment_type,payment_sequential,payment_installments,price,freight_value,payment_value,shipping_limit_date,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,day_of_purchase,month_of_purchase,year_of_purchase,month/year_of_purchase,order_status,order_unique_id
0,00010242fe8c5a6d1ba2dd792cb16214,1,3ce436f183e68e07877b285a838db11a,871766c5855e863f6eccc05f988b23cb,28013,"campos dos goytacazes",RJ,4244733e06e7ecb4970a6e2683c13e61,cool_stuff,58,598,4,650,28,9,14,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,2,58.9,13.29,72.19,"2017-09-19 09:45:35","2017-09-13 08:59:02","2017-09-13 09:45:35","2017-09-19 18:34:16","2017-09-20 23:43:48","2017-09-29 00:00:00",Wednesday,September,2017,September-2017,delivered,00010242fe8c5a6d1ba2dd792cb16214-1
1,130898c0987d1801452a8ed92a670612,1,e6eecc5a77de221464d1c4eaff0a9b64,0fb8e3eab2d3e79d92bb3fffbb97f188,75800,jatai,GO,4244733e06e7ecb4970a6e2683c13e61,cool_stuff,58,598,4,650,28,9,14,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,boleto,1,1,55.9,17.96,73.86,"2017-07-05 02:44:11","2017-06-28 11:52:20","2017-06-29 02:44:11","2017-07-05 12:00:33","2017-07-13 20:39:29","2017-07-26 00:00:00",Wednesday,June,2017,June-2017,delivered,130898c0987d1801452a8ed92a670612-1
2,532ed5e14e24ae1f0d735b91524b98b9,1,4ef55bf80f711b372afebcb7c715344a,3419052c8c6b45daf79c1e426f9e9bcb,30720,"belo horizonte",MG,4244733e06e7ecb4970a6e2683c13e61,cool_stuff,58,598,4,650,28,9,14,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,2,64.9,18.33,83.23,"2018-05-23 10:56:25","2018-05-18 10:25:53","2018-05-18 12:31:43","2018-05-23 14:05:00","2018-06-04 18:34:26","2018-06-07 00:00:00",Friday,May,2018,May-2018,delivered,532ed5e14e24ae1f0d735b91524b98b9-1
3,6f8c31653edb8c83e1a739408b5ff750,1,30407a72ad8b3f4df4d15369126b20c9,e7c828d22c0682c1565252deefbe334d,83070,"sao jose dos pinhais",PR,4244733e06e7ecb4970a6e2683c13e61,cool_stuff,58,598,4,650,28,9,14,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,3,58.9,16.17,75.07,"2017-08-07 18:55:08","2017-08-01 18:38:42","2017-08-01 18:55:08","2017-08-02 19:07:36","2017-08-09 21:26:33","2017-08-25 00:00:00",Tuesday,August,2017,August-2017,delivered,6f8c31653edb8c83e1a739408b5ff750-1
4,7d19f4ef4d04461989632411b7e588b9,1,91a792fef70ecd8cc69d3c7feb3d12da,0bb98ba72dcc08e95f9d8cc434e9a2cc,36400,"conselheiro lafaiete",MG,4244733e06e7ecb4970a6e2683c13e61,cool_stuff,58,598,4,650,28,9,14,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,4,58.9,13.29,72.19,"2017-08-16 22:05:11","2017-08-10 21:48:40","2017-08-10 22:05:11","2017-08-11 19:43:07","2017-08-24 20:04:21","2017-09-01 00:00:00",Thursday,August,2017,August-2017,delivered,7d19f4ef4d04461989632411b7e588b9-1
5,a0f9acf0b6294ed8561e32cde1a966bc,1,4851b3bca4a48b395dfad7aa57c3f72a,33449409b16400dbeaf886a5140bf59c,44560,"dom macedo costa",BA,4244733e06e7ecb4970a6e2683c13e61,cool_stuff,58,598,4,650,28,9,14,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,credit_card,1,1,55.9,26.93,82.83,"2017-08-03 15:23:46","2017-07-27 15:11:51","2017-07-28 15:23:46","2017-08-02 18:32:34","2017-08-31 20:19:52","2017-08-24 00:00:00",Thursday,July,2017,July-2017,delivered,a0f9acf0b6294ed8561e32cde1a966bc-1
6,bbf796534aaf9c59f8da8c7982db56e0,1,c32c207d9ebf75958011557ac1624e2f,31b9765a88ef50ccd457bb40491c4fbf,45160,"belo campo",BA,4244733e06e7ecb4970a6e2683c13e61,cool_stuff,58,598,4,650,28,9,14,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,boleto,1,1,64.9,38.5,103.4,"2018-03-26 03:28:44","2018-03-18 21:00:44","2018-03-20 03:28:44","2018-03-20 18:08:45","2018-03-28 21:57:44","2018-04-12 00:00:00",Sunday,March,2018,March-2018,delivered,bbf796534aaf9c59f8da8c7982db56e0-1
7,c9ef97d2854afe64a3b4488bc2836af6,2,0a29abf475fb8039d2775913d6f0b6f0,840f10bde3c94907105e032d9c2fec3b,75903,"rio verde",GO,4244733e06e7ecb4970a6e2683c13e61,cool_stuff,58,598,4,650,28,9,14,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,boleto,1,1,58.9,18.12,153.75,"2017-08-14 04:25:34","2017-08-05 16:59:05","2017-08-08 04:25:34","2017-08-10 16:40:11","2017-08-14 18:13:03","2017-09-06 00:00:00",Saturday,August,2017,August-2017,delivered,c9ef97d2854afe64a3b4488bc2836af6-2
8,c9ef97d2854afe64a3b4488bc2836af6,1,0a29abf475fb8039d2775913d6f0b6f0,840f10bde3c94907105e032d9c2fec3b,75903,"rio verde",GO,436c8d57ff8d4aa254318e9bd9b48c83,cool_stuff,54,599,6,530,30,9,14,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,boleto,1,1,58.9,17.83,153.75,"2017-08-14 04:25:34","2017-08-05 16:59:05","2017-08-08 04:25:34","2017-08-10 16:40:11","2017-08-14 18:13:03","2017-09-06 00:00:00",Saturday,August,2017,August-2017,delivered,c9ef97d2854afe64a3b4488bc2836af6-1
9,df2d910b8b5e5f461f67043489f9569d,1,2e76c1f2a920153d79cc98b634c50942,0efd4833752113fedce2e7250d49d5ac,53403,paulista,PE,4244733e06e7ecb4970a6e2683c13e61,cool_stuff,58,598,4,650,28,9,14,48436dade18ac8b2bce089ec2a041202,"volta redonda",SP,27277,voucher,2,1,55.9,35.71,20,"2017-06-09 14:31:21","2017-06-05 12:22:19","2017-06-05 14:31:21","2017-06-07 13:09:07","2017-06-26 13:52:03","2017-07-06 00:00:00",Monday,June,2017,June-2017,delivered,df2d910b8b5e5f461f67043489f9569d-1
